Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
6.1.3,,Switching and Routing ,,,,,,,
6.1.3.1,,,Communication Bridge ,,,,,,
6.1.3.2,,,Communication Gateway ,,,,,,
6.2,Enterprise Services (ES) ,,,,,,,,
6.2.1,,Information Sharing/Computing ,,,,,,,
6.2.1.1,,,Information Sharing ,,,,,,
6.2.1.2,,,Computing Infrastructure ,,,,,,
6.2.1.2.1,,,,Shared Computing ,,,,,
6.2.1.2.2,,,,Distributed Computing   ,,,,,
6.2.2,,Core Enterprise Services ,,,,,,,
6.2.2.1,,,User Access (Portal) ,,,,,,
6.2.2.2,,,Collaboration ,,,,,,
6.2.2.3,,,Content Discovery ,,,,,,
6.2.2.4,,,Content Delivery ,,,,,,
6.2.2.5,,,Common Identity Assurance Services ,,,,,,
6.2.2.6,,,Enterprise Messaging ,,,,,,
6.2.2.7,,,Directory Services,,,,,,
6.2.3,,"Position, Navigation, and Timing (PNT) ",,,,,,,
6.2.3.1,,,Provide PNT Information ,,,,,,
6.2.3.2,,,Utilize PNT Information ,,,,,,
6.3,Net Management   ,,,,,,,,
6.3.1,,Optimized Network Functions and Resources ,,,,,,,
6.3.1.1,,,Network Resource Visibility ,,,,,,
6.3.1.2,,,Rapid Configuration Change ,,,,,,
6.3.2,,Deployable Scalable and Modular Networks ,,,,,,,
6.3.3,,Spectrum Management ,,,,,,,
6.3.3.1,,,Spectrum Monitoring ,,,,,,
6.3.3.2,,,Spectrum Assignment ,,,,,,
6.3.3.3,,,Spectrum Deconfliction ,,,,,,
6.3.4,,Cyber Management ,,,,,,,
6.4,Information Assurance ,,,,,,,,
6.4.1,,Secure Information Exchange ,,,,,,,
6.4.1.1,,,Assure Access ,,,,,,
6.4.1.2,,,Assure Transfer,,,,,,
6.4.2,,Protect Data and Networks ,,,,,,,
6.4.2.1,,,Protect Against Network Infiltration,,,,,,
6.4.2.2,,,Protect Against Denial or Degradation of Services ,,,,,,
6.4.2.3,,,Protect Against Disclosure or Modification of Data  ,,,,,,
6.4.3,,Respond to Attack / Event ,,,,,,,
